name,is_potentially_hazardous_asteroid,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,orbital_data.semi_major_axis,orbital_data.eccentricity,orbital_data.inclination,orbital_data.orbital_period,orbital_data.orbit_class.orbit_class_type,miss_distance_km,velocity_kph
(2026 AA),False,0.0677259299,0.151439783,1.413347647374782,.3508875487320373,23.60432225596914,613.7223330868446,APO,5599728.366192001,55514.8062903071
(2017 FQ257),False,0.122448925,0.27380412,1.484262454045612,.2115062373414485,4.920620992188121,660.4873122349741,AMO,23704992.972665105,9557.7772232734
(2025 YY10),False,0.0220371271,0.0492765142,1.466421867551991,.3418915622573897,9.014184692895594,648.6147479871073,APO,7360560.849878635,31025.2331675968
(2026 AB),False,0.0078443141,0.0175404196,2.374045376523215,.5909465262908691,5.641273900829558,1336.07842267258,APO,232514492.62281844,16145.5366717419
(2026 AC),False,0.0469845397,0.1050606247,1.031757211100728,.2464390192029675,9.868185776075922,382.7936247848446,APO,16688214.86466913,40949.0221314686
(2026 AD),False,0.0417402433,0.0933340215,.9240219538086415,.1749943577121576,16.32427580311557,324.4306386481247,ATE,27312083.888849135,32459.9275457706
(2026 AE),False,0.0236240839,0.0528250575,1.117160627480359,.4637493154400418,13.71364643618118,431.2924531268705,APO,8430499.970382866,64663.1532563742
(2026 AF),False,0.0292519604,0.0654093719,1.877038591530996,.4876116562562841,10.17367104776683,939.3084504134627,APO,4035058.049274964,36324.7509121441
(2026 AG),False,0.0202934075,0.0453774387,1.27012119163341,.3325974996373259,6.05306672332502,522.836826750823,APO,4118444.799600184,32871.053678657
(2026 AH),False,0.0180200079,0.0402939626,1.488121319345908,.3778201761970652,5.353578152222722,663.0647412759778,APO,29284494.18093483,49006.4692251866
(2026 AJ),False,0.0095050625,0.0212539659,1.56571011025858,.4223013729882049,2.974493094408346,715.5919737978206,APO,12575719.288122892,43329.1415149714
(2026 AK),False,0.0476381598,0.1065221636,1.600910345621052,.5310040643225137,1.862339955786768,739.8589702053199,APO,27124145.790183853,71240.8662671969
(2026 AL),False,0.0263484442,0.0589169124,.9492690612317871,.1429938509692785,5.909946159213466,337.8177123394354,ATE,15263589.636326224,16096.6285951021
(2025 YP11),False,0.0286388106,0.0640383272,1.685586993036716,.3866874512971717,6.124219829313505,799.3282900062428,AMO,8908086.158829222,20838.0620855865
(2026 AM),False,0.0263848711,0.0589983653,2.346619512908296,.635028475632807,6.604193610411395,1312.993098619089,APO,2431916.755154265,50182.568868461
(2026 AN),False,0.0221796647,0.049595238,1.272262478537686,.3688845699746974,2.386165853073996,524.1595533328668,APO,13431091.410388658,46001.3684234116
(2026 AO),False,0.0318826915,0.0712918654,2.034985182964519,.5330962759254576,7.9751311990778,1060.328180779422,APO,1593978.31986469,34935.9589383162
(2026 AP),False,0.2136756219,0.4777932157,2.428933841556201,.7392091299523212,35.72339671817667,1382.680874299196,APO,,
(2026 AQ),False,0.0446020661,0.0997332516,1.882705425583923,.3810533447313996,5.772197615045934,943.565358571188,AMO,28197513.439552106,13943.8445210101
(2026 AS),False,0.0359215424,0.0803230107,1.500419173625009,.2073496341556533,22.94708030994647,671.3010628887464,AMO,,
(2026 AT),False,0.0316486345,0.0707684981,2.414106383157578,.5812841446387793,6.7979048536178,1370.039325928084,APO,11034877.099456899,34760.8615159618
(2026 AU),False,0.0063878539,0.0142836756,1.292316636092251,.3987657887603158,2.119786475919669,536.6014346640958,APO,25140784.47026076,58250.142873369
(2026 AV),False,0.0111674747,0.0249712325,1.207986290393673,.1762288775612863,8.447811258518065,484.9438265569828,APO,11573529.018758958,18835.0631011904
(2026 AW),False,0.0097848681,0.0218796303,.8015150986843722,.2502734439859601,21.58141898925138,262.0993770152596,ATE,14844147.726811703,42628.6251219942
(2026 AX),False,0.0109485089,0.0244816102,.9027367066539622,.1138557602389252,4.75460110218163,313.2853449833837,ATE,25975274.30065216,27407.3110674431
(2026 AY),False,0.0301269368,0.0673658787,2.150951913510369,.607796350302004,14.33752810101027,1152.244062907931,APO,3971355.117408178,54770.3905417175
(2026 AZ),False,0.0289837768,0.0648096952,1.164064689563331,.1154329878822792,27.54188281491635,458.7373488408872,AMO,18092894.31372344,53438.626137055
(2026 AA1),False,0.0307719471,0.0688081654,2.75049021877539,.6460147625908226,13.84567185551651,1666.148030781704,APO,154233837.7999794,20216.6511647388
(2026 AB1),False,0.0409972736,0.0916726907,1.30592764107588,.2541782669659281,22.55978678133799,545.1011498671071,APO,14966527.236751359,51275.2547414243
(2026 AC1),False,0.0499982699,0.1117995303,2.130114258601971,.6267214359227438,10.18761232727337,1135.540886373054,APO,2191924.581643783,58379.7597887524
(2026 AD1),False,0.0295090329,0.0659842035,1.295364017597757,.1862098007699652,45.09085322313516,538.5005740033355,AMO,11924115.441849643,85314.1206172104
(2026 AE1),False,0.0560989815,0.1254411361,1.154691792255863,.3173064082880671,30.54883342825722,453.2079766791168,APO,27550699.56747839,75195.7502784548
(2026 AF1),False,0.04162507,0.093076486,1.420873020964434,.1697323352023275,23.55996491269173,618.6305014959154,AMO,29610744.486287314,44105.9831655808
